36th Parliament, 1st Session
108	Apology Act, 2009	
Bentley, Hon. Christopher Attorney General
109	Taxation Amendment Act (Equipment Purchased for Persons with Disabilities), 2008	
Murdoch, Bill
110	Auditor General Amendment Act, 2008	
Munro, Julia
111	Emancipation Day Act, 2008	
Arnott, Ted
Van Bommel, Maria
112	Single-Use Bottled Water Ban Act, 2008	
Kular, Kuldip
113	Diabetes Awareness Month Act, 2008	
Mangat, Amrit
114	Budget Measures and Interim Appropriation Act, 2008 (No. 2)	
Duncan, Hon. Dwight Minister of Finance
115	Coroners Amendment Act, 2009	
Bartolucci, Hon. Rick Minister of Community Safety and Correctional Services
116	Pension Benefits Amendment Act (Unlocking Pension Funds), 2009	
Chudleigh, Ted
117	Highway Traffic Amendment Act (Child Passengers on Motorcycles), 2008	
Jaczek, Helena
118	Countering Distracted Driving and Promoting Green Transportation Act, 2009	
Bradley, Hon. James J. Minister of Transportation
119	Workplace Safety and Insurance Amendment Act, 2008	
Fonseca, Hon. Peter Minister of Labour
120	Tom Longboat Day Act, 2008	
Colle, Mike
121	Red Tape Reduction Policy Act, 2008	
Miller, Norman
122	Students Against Impaired and Distracted Driving Day Act, 2008	
Levac, Dave
123	Environmental Assessment Amendment Act, 2008	
Balkissoon, Bas
124	Smoke-Free Ontario Amendment Act (Cigarillos), 2008	
Gélinas, France
Levac, Dave
125	Environmental Protection Amendment Act (Industrial Facilities), 2008	
Levac, Dave
126	Road Safety Act, 2009	
Bradley, Hon. James J. Minister of Transportation
127	Land Transfer Tax Amendment Act, 2008	
Brownell, Jim
128	Christopher's Statute Law Amendment Act (Sex Offender Registry and Electronic Sexual Material), 2008	
Martiniuk, Gerry
129	Legislative Assembly Amendment Act (Standing Committee on Public Accounts for Health Care and Education), 2008	
Ouellette, Jerry J.
130	Children's Safety and Protection Rights Act, 2008	
MacLeod, Lisa
131	Ontario Energy Board Amendment Act, 2008	
Ramsay, David
132	Liquor Licence Amendment Act (Fruit Wine), 2009	
Runciman, Robert W.
133	Family Statute Law Amendment Act, 2009	
Bentley, Hon. Christopher Attorney General
134	Niagara Health System Elections Act, 2008	
Kormos, Peter
135	Back to Work Act (York University), 2008	
Shurman, Peter
136	Ontario Award for Paramedic Bravery Act, 2009	
Van Bommel, Maria
137	Education Amendment Act (Pupils with Diabetes), 2009	
Martiniuk, Gerry
138	Protection of Public Participation Act, 2008	
Horwath, Andrea
139	Employment Standards Amendment Act (Temporary Help Agencies), 2009	
Fonseca, Hon. Peter Minister of Labour
140	Securities Amendment Act (Mutual Funds), 2008	
Prue, Michael
141	Regulated Health Professions Amendment Act, 2009	
Caplan, Hon. David Minister of Health and Long-Term Care
142	Hamilton Health Sciences Elections Act, 2008	
Horwath, Andrea
143	Hawkins Gignac Act (Carbon Monoxide Detectors), 2009	
Hardeman, Ernie
144	Provincial Advocate for Children and Youth Amendment Act, 2008	
Horwath, Andrea
145	York University Labour Disputes Resolution Act, 2009	
Fonseca, Hon. Peter Minister of Labour
146	Truth about Caledonia Act, 2009	
Barrett, Toby
147	Holodomor Memorial Day Act, 2009	
Levac, Dave
DiNovo, Cheri
Klees, Frank
148	Visual Fire Alarm System Act, 2009	
Arthurs, Wayne
149	Inactive Cemeteries Protection Act, 2009	
Brownell, Jim
150	Green Energy and Green Economy Act, 2009	
Smitherman, Hon. George Minister of Energy and Infrastructure
151	Zero Tolerance to Violence on Public Transit Act, 2009	
Colle, Mike
152	Poverty Reduction Act, 2009	
Matthews, Hon. Deborah Minister of Children and Youth Services
153	Greenbelt Day Act, 2009	
Dickson, Joe
154	Employment Standards Amendment Act (Organ Donor Leave), 2009	
Fonseca, Hon. Peter Minister of Labour
155	Tobacco Damages and Health Care Costs Recovery Act, 2009	
Bentley, Hon. Christopher Attorney General
156	Healthy Decisions for Healthy Eating Act, 2009	
Gélinas, France
157	Education Amendment Act (Keeping Our Kids Safe at School), 2009	
Wynne, Hon. Kathleen O. Minister of Education
158	Accounting Professions Act, 2010	
Bentley, Hon. Christopher Attorney General
159	Transparency in Public Matters Act, 2009	
Craitor, Kim
160	Caregiver and Foreign Worker Recruitment and Protection Act, 2009	
Colle, Mike
161	Supply Act, 2009	
Duncan, Hon. Dwight Minister of Finance
162	Budget Measures Act, 2009	
Duncan, Hon. Dwight Minister of Finance
163	Greater Toronto and Hamilton Area Transit Implementation Act, 2009	
Bradley, Hon. James J. Minister of Transportation
164	Motor Vehicle Dealers Amendment Act (Disclosure of Lemons), 2010	
Flynn, Kevin Daniel
165	Employment Standards Amendment Act (Protection for Artists), 2009	
Tabuns, Peter
166	Carbon Monoxide Awareness Week Act, 2009	
Levac, Dave
167	Toxics Reduction Act, 2009	
Gerretsen, Hon. John Minister of the Environment
168	Occupational Health and Safety Amendment Act (Violence and Harassment in the Workplace) 2009	
Fonseca, Hon. Peter Minister of Labour
169	Workplace Safety and Insurance Amendment Act (Firefighters), 2009	
Arnott, Ted
170	Criminal Record Checks for Volunteers Act, 2009	
Jones, Sylvia
171	Property Tax Deferral Act, 2009	
Shurman, Peter
Kormos, Peter
Sergio, Mario
172	Ticket Speculation Amendment Act, 2010	
Bentley, Hon. Christopher Attorney General
173	Mining Amendment Act, 2009	
Gravelle, Hon. Michael Minister of Northern Development and Mines
174	Gasoline Tax Fairness for All Act, 2009	
Yakabuski, John
175	Ontario Labour Mobility Act, 2009	
Milloy, Hon. John Minister of Training, Colleges and Universities
176	Municipal Residential and Commercial Surge Protector Act, 2009	
Lalonde, Jean-Marc
177	Student Achievement and School Board Governance Act, 2009	
Wynne, Hon. Kathleen O. Minister of Education
178	Congenital Heart Disease Awareness Day Act, 2009	
Jaczek, Helena
179	Regulated Health Professions Statute Law Amendment Act, 2009	
Matthews, Hon. Deborah Minister of Health and Long-Term Care
180	Capping Executive Compensation Act, 2009	
Horwath, Andrea
181	Highway Traffic Amendment Act (Aftermarket Brake Pad Standards), 2009	
Sandals, Liz
182	Stop Human Trafficking Day Act, 2009	
Levac, Dave
183	Ontario College of Trades and Apprenticeship Act, 2009	
Milloy, Hon. John Minister of Training, Colleges and Universities
184	Ontario Trillium Protection Act, 2009	
Leal, Jeff
185	Environmental Protection Amendment Act (Greenhouse Gas Emissions Trading), 2009	
Gerretsen, Hon. John Minister of the Environment
186	Condominium Owners Protection Act, 2009	
Marchese, Rosario
187	Technical Standards and Safety Statute Law Amendment Act, 2009	
McMeekin, Hon. Ted Minister of Consumer Services
188	Protection of Vulnerable and Elderly People from Abuse Act (Powers of Attorney), 2009	
O'Toole, John
189	Employment Standards Amendment Act, 2009	
DiNovo, Cheri
190	Property Rights and Responsibilities Act, 2009	
Barrett, Toby
191	Far North Act, 2010	
Jeffrey, Hon. Linda Minister of Natural Resources
192	St. John Ambulance Day Act, 2009	
Jaczek, Helena
193	Bicentennial of the War of 1812 Act, 2009	
Craitor, Kim
194	City of Ottawa Amendment Act, 2009	
Naqvi, Yasir
195	Pension Benefits Statute Law Amendment Act, 2009	
Wilson, Jim
196	Barrie-Innisfil Boundary Adjustment Act, 2009	
Watson, Hon. Jim Minister of Municipal Affairs and Housing
197	Human Rights Code Amendment Act (Freedom of Expression), 2009	
Klees, Frank
198	Planning Amendment Act (Enabling Municipalities to Require Inclusionary Housing), 2009	
DiNovo, Cheri
199	Tobacco Tax Reduction Act, 2009	
Barrett, Toby
200	Breast Cancer Screening Act, 2009	
Orazietti, David
201	Public Sector Expenses Review Act, 2009	
Takhar, Hon. Harinder S. Minister of Government Services
202	Education Statute Law Amendment Act (Electronic Sexual Material), 2009	
Martiniuk, Gerry
203	Interprovincial Policing Act, 2009	
Bartolucci, Hon. Rick Minister of Community Safety and Correctional Services
204	Animal Health Act, 2009	
Dombrowsky, Hon. Leona Minister of Agriculture, Food and Rural Affairs
205	Mental Health Awareness Day Act, 2009	
Aggelonitis, Sophia
206	Labour Relations Amendment Act (Replacement Workers), 2009	
Gélinas, France
207	Black History Month Act, 2009	
Balkissoon, Bas
208	Climate Change Awareness Act, 2009	
McNeely, Phil
209	Residential Tenancies Amendment Act (Rental Insurance), 2009	
Prue, Michael
210	Employment Protection for Foreign Nationals Act (Live-in Caregivers and Others), 2009	
Fonseca, Hon. Peter Minister of Labour
211	Municipal Amendment Act (Green Roofs), 2009	
Ruprecht, Tony
212	Good Government Act, 2009	
Bentley, Hon. Christopher Attorney General
213	Pension Benefits Amendment Act (Transfers on Wind Up), 2009	
Sterling, Norman W.
214	Fire Protection and Prevention Amendment Act (Fire Sprinkler Retrofitting), 2009	
Sergio, Mario
215	Bottled Water Spending Act, 2009	
Tabuns, Peter
216	Public Hospitals Amendment Act, 2009	
Albanese, Laura
217	Planning Amendment Act (Community Gardens), 2009	
Ruprecht, Tony
218	Ontario Tax Plan for More Jobs and Growth Act, 2009	
Duncan, Hon. Dwight Minister of Finance
219	Workplace Safety and Insurance Amendment Act (Alternate Insurance Plans), 2009	
Hillier, Randy
220	eHealth Ontario Spending Accountability Act, 2009	
Chudleigh, Ted
221	Highway Traffic Amendment Act (Senior Driver's Conditional Licence), 2009	
Ramal, Khalil
222	Public Safety Related to Dogs Statute Law Amendment Act, 2009	
DiNovo, Cheri
223	Disabled Persons' Service Dogs Act, 2009	
DiNovo, Cheri
224	Toby's Act (Right to be Free from Discrimination and Harassment Because of Gender Identity), 2009	
DiNovo, Cheri
225	DriveTest Labour Dispute Resolution Act, 2009	
Wilson, Jim
226	Taxation Amendment Act (Live Performances), 2009	
Tabuns, Peter
227	Freedom of Information and Protection of Privacy Amendment Act (Institutions), 2009	
Savoline, Joyce
228	Electricity Amendment Act (Protection Against Security Deposits), 2009	
Crozier, Bruce
229	Day Nurseries Amendment Act (Sun Protection), 2009	
Gélinas, France
230	Ontario Energy Board Amendment Act (Door-to-door Electricity Retail), 2009	
Brown, Michael A.
231	Election Statute Law Amendment Act, 2010	
Bentley, Hon. Christopher Attorney General
232	Taxation Amendment Act (Exemptions for Artists), 2009	
Tabuns, Peter
233	Trades Qualification and Apprenticeship Amendment Act, 2009	
Bailey, Robert
234	Taxation Amendment Act (Heritage Property Tax Credit), 2009	
Arnott, Ted
235	Energy Consumer Protection Act, 2010	
Duguid, Hon. Brad Minister of Energy and Infrastructure
236	Pension Benefits Amendment Act, 2010	
Duncan, Hon. Dwight Minister of Finance
237	Sustainable Water and Waste Water Systems Improvement and Maintenance Act, 2010	
Caplan, David
238	Liquor Licence Amendment Act (Unlawful Weapons in Bars), 2009	
Colle, Mike
239	Employment Standards Amendment Act (Lay-offs), 2009	
Miller, Paul
240	Highway Traffic Amendment Act (Ignition Interlock Devices in School Vehicles), 2009	
Levac, Dave
241	British Home Child Day Act, 2010	
Brownell, Jim
242	Full Day Early Learning Statute Law Amendment Act, 2010	
Dombrowsky, Hon. Leona Minister of Education
243	Mining Amendment Act (Resources Processed in Ontario), 2010	
Bisson, Gilles
244	Public Transportation and Highway Improvement Amendment Act (Noise Remediation), 2010	
Caplan, David
245	Meningitis Awareness Day Act, 2010	
Pendergast, Leeanna
246	Essential Public Transit Services Act, 2010	
Caplan, David
247	Zero Waste Day Act, 2010	
Kular, Kuldip
248	Labour Relations Amendment Act, 2010	
Tabuns, Peter

39th Parliament, 2nd Session
Bill title search
No.	Bill title	Sponsor
1	An Act to perpetuate an ancient parliamentary right	
McGuinty, Hon. Dalton Premier
2	Meningitis Awareness Day Act, 2010	
Pendergast, Leeanna
3	Protection of Vulnerable and Elderly People from Abuse Act (Powers of Attorney), 2010	
O'Toole, John
4	Ombudsman Amendment Act, 2010	
Kormos, Peter
5	Bill of Rights for Pupils with Diabetes, 2010	
Levac, Dave
6	Climate Change Awareness Act, 2010	
McNeely, Phil
7	Consumer Reporting Amendment Act, 2010	
Ruprecht, Tony
8	Separation Distances for Natural Gas Power Plants Act, 2010	
Flynn, Kevin Daniel
9	Waste Disposal Site 41 in the Township of Tiny Act, 2010	
Dunlop, Garfield
10	Public Transportation and Highway Improvement Amendment Act (Noise Remediation), 2010	
Caplan, David
11	Workplace Safety and Insurance Amendment Act (Post Traumatic Stress Disorder), 2010	
DiNovo, Cheri
12	British Home Child Day Act, 2011	
Brownell, Jim
13	Sustainable Water and Waste Water Systems Improvement and Maintenance Act, 2010	
Caplan, David
14	Fire Protection Statute Law Amendment Act, 2010	
Prue, Michael
15	Essential Public Transit Services Act, 2010	
Caplan, David
16	Creating the Foundation for Jobs and Growth Act, 2010	
Duncan, Hon. Dwight Minister of Finance
17	Supply Act, 2010	
Duncan, Hon. Dwight Minister of Finance
18	Municipal Amendment Act (Local Democracy and Accountability), 2010	
Caplan, David
19	Vimy Ridge Day Act, 2010	
Sterling, Norman W.
Prue, Michael
Zimmer, David
20	Labour Relations Amendment Act, 2010	
Tabuns, Peter
21	Retirement Homes Act, 2010	
Phillips, Hon. Gerry Minister Responsible for Seniors
22	Children's Law Reform Amendment Act, 2010	
Craitor, Kim
23	Enhancing the Ability of Income Support Recipients to be Financially Independent Act, 2010	
Barrett, Toby
24	Franco-Ontarian Day Act, 2010	
Meilleur, Hon. Madeleine Minister Responsible for Francophone Affairs
25	Transparency in Public Matters Act, 2010	
Craitor, Kim
26	Highway Traffic Amendment Act (Ignition Interlock Devices in School Vehicles), 2010	
Levac, Dave
27	Peace Officers' Memorial Day and Memorial Act, 2010	
Levac, Dave
28	Cigarette and Cigar Butt Litter Prevention Act, 2010	
Levac, Dave
PR29	962 Bloor Street West Limited Act, 2010	
Ruprecht, Tony
29	Planning Amendment Act (Renewable Energy Undertakings), 2010	
Jones, Sylvia
30	eHealth Ontario Spending Accountability Act, 2010	
Chudleigh, Ted
PR30	Durham Region Classic Mustang Club Act, 2010	
O'Toole, John
31	Skin Cancer Prevention Act, 2010	
Gélinas, France
Ramal, Khalil
PR31	Deepa Gas Limited Act, 2010	
Albanese, Laura
PR32	1518186 Ontario Inc. Act, 2011	
Rinaldi, Lou
32	Great Lakes Shoreline Right of Passage Act, 2011	
Craitor, Kim
PR33	Sandringham Developments Ltd. Act, 2010	
Caplan, David
33	Stop Human Trafficking Day Act, 2010	
Levac, Dave
PR34	Luso Canadian Charitable Society Act (Tax Relief), 2010	
Albanese, Laura
34	Carbon Monoxide Awareness Week Act, 2010	
Levac, Dave
PR35	Ontario Institute of the Purchasing Management Association of Canada Inc. Act, 2010	
Rinaldi, Lou
35	Made in Ontario Act, 2010	
Levac, Dave
PR36	1314596 Ontario Inc. Act, 2011	
Kormos, Peter
36	Mining Amendment Act (Resources Processed in Ontario), 2010	
Bisson, Gilles
PR37	Sisters of St. Joseph of Peterborough Act (Tax Relief), 2010	
Leal, Jeff
37	Income Tax Amendment Act (Public Transit Expense Tax Credit), 2010	
O'Toole, John
PR38	Big Bay Resort Association Act, 2010	
Munro, Julia
38	Criminal Record Checks for Volunteers Act, 2010	
Jones, Sylvia
39	Truth in Government Act, 2010	
MacLeod, Lisa
PR39	Faradale Farms Ltd. Act, 2011	
Martiniuk, Gerry
PR40	S.L. McNally Consulting Services Inc. Act, 2011	
Caplan, David
40	Gasoline Tax Fairness for All Act, 2010	
Yakabuski, John
PR41	Tonum Ltd. Act, 2010	
Shurman, Peter
41	Defibrillator Access Act, 2010	
McMeekin, Ted
PR42	Bahram & Hamid Inc. Act, 2011	
Zimmer, David
42	Taxation Amendment Act (Public Transit Expense Tax Credit), 2010	
O'Toole, John
PR43	Ursuline Religious of London Act (Tax Relief), 2011	
Hoy, Pat
43	Post-secondary Education Statute Law Amendment Act, 2010	
Milloy, Hon. John Minister of Training, Colleges and Universities
PR44	Ontario Barber Association Act, 2011	
DiNovo, Cheri
44	Lowering Energy Costs for Northern Ontarians Act, 2010	
Duncan, Hon. Dwight Minister of Finance
PR45	1312510 Ontario Ltd. Act, 2011	
Dickson, Joe
45	Labour Relations Amendment Act (Replacement Workers), 2011	
Gélinas, France
46	Excellent Care for All Act, 2010	
Matthews, Hon. Deborah Minister of Health and Long-Term Care
PR46	Faradale Farms Ltd. Act, 2011	
Martiniuk, Gerry
PR47	Big A Amusements Ltd. Act, 2011	
Delaney, Bob
47	Victims of Crime Awareness Week Act, 2010	
Chudleigh, Ted
PR48	917866 Ontario Inc. Act, 2011	
Elliott, Christine
48	Child and Youth Mental Health Awareness Act, 2010	
Horwath, Andrea
49	Physical Fitness Day Act, 2010	
O'Toole, John
50	Members' Integrity Amendment Act, 2010	
Smith, Hon. Monique M. Minister of Intergovernmental Affairs
51	Education Amendment Act (Pupils with Diabetes), 2010	
Martiniuk, Gerry
52	Alzheimer Advisory Council Act, 2010	
Cansfield, Donna H.
DiNovo, Cheri
Elliott, Christine
53	Escaping Domestic Violence Act, 2010	
Naqvi, Yasir
54	Retirement Savings Plans for Employees and Self-Employed Persons Act, 2010	
Leal, Jeff
55	Education Amendment Act (Organ Donation Education), 2010	
Levac, Dave
56	Breast Cancer Screening Act, 2010	
Orazietti, David
57	Capping Top Public Sector Salaries Act, 2010	
Horwath, Andrea
58	Planning Amendment Act (Enabling Municipalities to Require Inclusionary Housing), 2010	
DiNovo, Cheri
59	Eramosa Karst Feeder Lands Protection Act, 2010	
Hudak, Tim
Miller, Paul
60	Public Safety Related to Dogs Statute Law Amendment Act, 2010	
DiNovo, Cheri
61	Students Against Impaired and Distracted Driving Day Act, 2010	
Levac, Dave
62	Environmental Protection Amendment Act (Industrial Facilities), 2010	
Levac, Dave
63	Building Code Amendment Act (Storm Water Harvesting), 2010	
Levac, Dave
64	Occupational Health and Safety Amendment Act (Scented Products), 2010	
Levac, Dave
65	Not-for-Profit Corporations Act, 2010	
Gerretsen, Hon. John Minister of Consumer Services
66	Education Statute Law Amendment Act (Electronic Sexual Material), 2010	
Martiniuk, Gerry
67	Ending Public Funding of Electroconvulsive Therapy Act, 2010	
DiNovo, Cheri
68	Open for Business Act, 2010	
Pupatello, Hon. Sandra Minister of Economic Development and Trade
69	Hawkins Gignac Act (Carbon Monoxide Detectors), 2010	
Hardeman, Ernie
70	Toby's Act (Right to be Free from Discrimination and Harassment Because of Gender Identity, 2010	
DiNovo, Cheri
71	Defending Employees' Rights Act, 2010	
Hillier, Randy
72	Water Opportunities and Water Conservation Act, 2010	
Wilkinson, Hon. John Minister of the Environment
73	Public Inquiry into Caledonia Act, 2010	
Chudleigh, Ted
74	Highway Traffic Amendment Act (Safe Passing Bicycles), 2010	
DiNovo, Cheri
75	Financial Administration Amendment Act (Disclosure re Investigations), 2010	
Tabuns, Peter
76	Visual Fire Alarm System Act, 2010	
Arthurs, Wayne
77	Strengthening Public Hospitals Act, 2010	
Caplan, David
78	Taxation Amendment Act (Food Bank Donation Tax Credit for Farmers), 2010	
Bailey, Robert
79	Condominium Owners Protection Act, 2010	
Marchese, Rosario
80	Katelyn Bedard Bone Marrow Awareness Month Act, 2010	
Crozier, Bruce
81	Elimination of Automatic Tips Act, 2010	
Caplan, David
82	Toronto City Council Act, 2010	
Sergio, Mario
83	Protecting Vulnerable People Against Picketing Act, 2010	
Jones, Sylvia
84	Child and Family Services Amendment Act (Protection of Drug Endangered Children), 2010	
Dunlop, Garfield
85	Legislative Assembly Amendment Act (Standing Committee on Public Accounts for Health Care and Education), 2010	
Ouellette, Jerry J.
86	Protection of Minors in Amateur Sports Act, 2011	
Ouellette, Jerry J.
87	Ontario Works Amendment Act (Care Assistance), 2010	
Miller, Paul
88	Accessible Parking Act, 2010	
Caplan, David
89	Newcomers Employment Opportunities Act, 2010	
Hudak, Tim
90	Healthy Decisions for Healthy Eating Act, 2010	
Gélinas, France
91	Environmental Protection Amendment Act (Sewage Sludge), 2010	
O'Toole, John
92	Mandating Sprinklers in All Ontario Retirement Homes Act, 2010	
Miller, Paul
93	Fire Protection and Prevention Amendment Act (Fire Sprinkler Retrofitting), 2010	
Craitor, Kim
94	Renters' Right to Know Act, 2010	
Colle, Mike
95	Preserving the Dignity of the Ontario Legislative Building Act, 2010	
Marchese, Rosario
96	Registered Retirement Savings Protection Act, 2010	
Leal, Jeff
97	Michelle Krohn Act (Modified Driver's Licence), 2010	
Ramal, Khalil
98	Ontario New Home Warranties Plan Amendment Act (Ombudsman's Powers), 2010	
DiNovo, Cheri
99	Children's Activity Tax Credit Act, 2010	
Duncan, Hon. Dwight Minister of Finance
100	Public Transportation and Highway Improvement Amendment Act, 2010	
Miller, Norman
101	Narcotics Safety and Awareness Act, 2010	
Matthews, Hon. Deborah Minister of Health and Long-Term Care
102	Arthur Wishart Amendment Act (Franchise Disclosure), 2010	
Jaczek, Helena
DiNovo, Cheri
Miller, Norman
103	Italian Heritage Month Act, 2010	
Sergio, Mario
Marchese, Rosario
Shurman, Peter
104	Access to Personal Health Information Act, 2010	
Caplan, David
105	World Water Day Act, 2010	
Kular, Kuldip
106	Safer Communities and Neighbourhoods Act, 2010	
Naqvi, Yasir
107	Representation Amendment Act, 2010	
Hoy, Pat
108	Government of Ontario Buy Local Food Act, 2010	
Horwath, Andrea
109	Enhancement of the Ontario Energy and Property Tax Credit for Seniors and Ontario Families Act, 2010	
Duncan, Hon. Dwight Minister of Finance
110	Good Government Act, 2011	
Bentley, Hon. Christopher Attorney General
111	G20 Public Inquiry Act, 2010	
Horwath, Andrea
112	Residential Tenancies Amendment Act (Tenants' Rights), 2010	
DiNovo, Cheri
113	Protection of Vulnerable and Elderly People from Abuse Act (Powers of Attorney), 2010	
O'Toole, John
114	Protecting Employees' Tips Act, 2010	
Prue, Michael
115	Ontario Award for Paramedic Bravery Act, 2010	
Van Bommel, Maria
116	Protecting Children from Tobacco Addiction Act, 2010	
Martiniuk, Gerry
117	Children's Mental Health Act, 2011	
Caplan, David
Elliott, Christine
Gélinas, France
118	Pregnancy and Infant Loss Awareness Day Act, 2010	
Miller, Paul
119	Lobbyists Registration Amendment Act (Public Entities), 2010	
Tabuns, Peter
120	Securing Pension Benefits Now and for the Future Act, 2010	
Duncan, Hon. Dwight Minister of Finance
121	G20 Public Inquiry Act, 2010	
Kormos, Peter
122	Broader Public Sector Accountability Act, 2010	
Matthews, Hon. Deborah Minister of Health and Long-Term Care
123	Executive Council Amendment Act (Ministers' Attendance at Question Period), 2010	
MacLeod, Lisa
124	Dutch Heritage Month Act, 2010	
Witmer, Elizabeth
125	Exotic Wildlife in Captivity Act, 2010	
Levac, Dave
126	Inactive Cemeteries Protection Act, 2010	
Brownell, Jim
127	Ontario Wine Industry Bicentennial in 2011 Recognition Act, 2010	
Hardeman, Ernie
128	Cell Phone Safety Act, 2010	
Gélinas, France
129	Respect for Ontario Veterans, Soldiers and War Dead Act, 2010	
MacLeod, Lisa
130	Homeowners Insurance Credit Scoring Ban Act, 2010	
Colle, Mike
131	Ombudsman Amendment Act (Designated Public Bodies), 2010	
Marchese, Rosario
132	Temiskaming and Chatham–Kent–Leamington Act, 2010	
Hoy, Pat
133	Wireless Phone, Smart Phone and Data Service Transparency Act, 2011	
Orazietti, David
134	Municipal Residential and Commercial Surge Protector Act, 2010	
Lalonde, Jean-Marc
135	Helping Ontario Families and Managing Responsibly Act, 2010	
Duncan, Hon. Dwight Minister of Finance
136	Highway Traffic Amendment Act (Safety Cameras), 2010	
Caplan, David
137	Labour Stability in the Industries of Film, Television, Radio and New Media Act, 2010	
Tabuns, Peter
138	Registered Human Resources Professionals Act, 2011	
Zimmer, David
139	Clandestine Drug Operation Prevention Act, 2010	
MacLeod, Lisa
140	Strong Communities through Affordable Housing Act, 2011	
Bartolucci, Hon. Rick Minister of Municipal Affairs and Housing
141	Health Protection and Promotion Amendment Act, 2011	
Matthews, Hon. Deborah Minister of Health and Long-Term Care
142	Christopher's Amendment Act (Sex Offender Registry), 2010	
Martiniuk, Gerry
143	Property Tax Deferral Act, 2011	
Shurman, Peter
Kormos, Peter
Sergio, Mario
144	Repeal of the Hidden Energy Taxes Act, 2010	
Yakabuski, John
145	Residential Tenancies Amendment Act (Damage Deposits), 2011	
Savoline, Joyce
146	Organic Waste Diversion Act, 2010	
Sterling, Norman W.
147	Towing Industry Act, 2011	
Zimmer, David
148	Ontario Society of Professional Engineers Act, 2011	
Kwinter, Monte
149	Ukrainian Heritage Day Act, 2010	
Martiniuk, Gerry
Cansfield, Donna H.
DiNovo, Cheri
150	Toronto Transit Commission Labour Disputes Resolution Act, 2011	
Sousa, Hon. Charles Minister of Labour
151	Ontario Forest Tenure Modernization Act, 2011	
Gravelle, Hon. Michael Minister of Northern Development, Mines and Forestry
152	Small Business Bill of Rights, 2011	
Munro, Julia
153	Municipal Elections Amendment Act (Commencement of Term of Offices Date), 2011	
Lalonde, Jean-Marc
154	Education Amendment Act (Renewal and Maintenance of School Facilities), 2011	
Caplan, David
155	Ukrainian Heritage Day Act, 2011	
Martiniuk, Gerry
Cansfield, Donna H.
DiNovo, Cheri
156	Highway Traffic Amendment Act (Roadside Assistance Vehicles), 2011	
Dunlop, Garfield
157	Pesticides Amendment Act, 2011	
Brownell, Jim
158	Accounting Professions Act, 2010	
Bentley, Hon. Christopher Attorney General
159	Epilepsy Awareness Day Act, 2011	
Ruprecht, Tony
160	Occupational Health and Safety Statute Law Amendment Act, 2011	
Sousa, Hon. Charles Minister of Labour
161	Novice Driver “P” Plate Act, 2011	
Flynn, Kevin Daniel
Bisson, Gilles
Klees, Frank
162	Diabetes Awareness Month Act, 2011	
Mangat, Amrit
163	Christopher's Law (Sex Offender Registry) Amendment Act, 2011	
Bradley, Hon. James J. Minister of Community Safety and Correctional Services
164	Motor Vehicle Dealers Amendment Act (Disclosure of Lemons), 2010	
Flynn, Kevin Daniel
165	Sickle Cell and Thalassemia Care Ontario Act, 2011	
Colle, Mike
166	Dutch Heritage Month Act, 2011	
Witmer, Elizabeth
DiNovo, Cheri
Van Bommel, Maria
167	Supply Act, 2011	
Duncan, Hon. Dwight Minister of Finance
168	Agencies, Boards and Commissions Sunset Review Act, 2011	
Hudak, Tim
169	Legislative Assembly Amendment Act (Standing Committee on Regulations and Private Bills), 2011	
Hillier, Randy
170	Childhood Obesity Awareness Month Act, 2011	
Fonseca, Peter
171	Prohibition Against Government Funding of the Promotion of Hatred Act, 2011	
Shurman, Peter
172	Ticket Speculation Amendment Act, 2010	
Bentley, Hon. Christopher Attorney General
173	Better Tomorrow for Ontario Act (Budget Measures), 2011	
Duncan, Hon. Dwight Minister of Finance
174	Highway Traffic Amendment Act, 2011	
Prue, Michael
175	Consumer Protection Amendment Act (Protecting Children from Targeted Advertising of Unhealthy Food and Drink), 2011	
Marchese, Rosario
176	Smoke-Free Ontario Amendment Act, 2011	
Gélinas, France
177	Public Sector Salary Disclosure Amendment Act, 2011	
Horwath, Andrea
178	Alexander Graham Bell Parkway Act, 2011	
Levac, Dave
179	Building Families and Supporting Youth to be Successful Act, 2011	
Broten, Hon. Laurel C. Minister of Children and Youth Services
180	Ontario One Call Act, 2011	
Bailey, Robert
181	Fire Protection and Prevention Amendment Act, 2011	
Sousa, Hon. Charles Minister of Labour
182	Radon Awareness and Prevention Act, 2011	
Moridi, Reza
183	Ombudsman Statute Law Amendment Act (Designated Public Bodies), 2011	
Marchese, Rosario
184	College and University Student Associations Act, 2011	
Naqvi, Yasir
Marchese, Rosario
185	British Home Child Day Act, 2011	
Brownell, Jim
Clark, Steve
DiNovo, Cheri
186	Supporting Smoke-Free Ontario by Reducing Contraband Tobacco Act, 2011	
Aggelonitis, Hon. Sophia Minister of Revenue
187	Residential Tenancies Amendment Act (Vital Services), 2011	
DiNovo, Cheri
188	McMichael Canadian Art Collection Amendment Act, 2011	
Chan, Hon. Michael Minister of Tourism and Culture
189	Imitation Firearms Regulation Amendment Act, 2011	
Dickson, Joe
190	Twenty-First Century Skills Award Act, 2011	
O'Toole, John
191	Far North Act, 2010	
Jeffrey, Hon. Linda Minister of Natural Resources
192	Anatolian Heritage Day Act, 2011	
Ruprecht, Tony
193	French Language Services Amendment Act, 2011	
Gélinas, France
